N°DM	LIGNE	N°BL	Chantier	Article	INTITULER	Quantité
25-0047776	25-0047776/36/1	00116767	MONTEREAU	78824009	CONSOLE U-180 L=10,04M  R26812	2
25-0047783	25-0047783/44/1	00116767	MONTEREAU	08804913	TUBE 38-4 L=1,500M   3575R3576	28
25-0047783	25-0047783/1/1	00117554	MONTEREAU	78804047	COSSE D'EXTREMITE     6603R306	11
25-0047783	25-0047783/10/1	00117554	MONTEREAU	08806816	DEMI-GRIFFE SERRAGE   6604R301	4
25-0047783	25-0047783/11/1	00117554	MONTEREAU	08806819	DEMI-GRIFFE SERRAGE   6604R304	24
25-0047783	25-0047783/12/1	00117554	MONTEREAU	71674471	ECROU HFR M10 INOX + REVET +CL	300
25-0047783	25-0047783/13/1	00117554	MONTEREAU	71674602	ECROU HFR M12 INOX + REVET +CL	200
25-0047783	25-0047783/14/1	00117554	MONTEREAU	01679101	ECROU HFR, M14 INOX +REVET +CL	2
25-0047783	25-0047783/15/1	00117554	MONTEREAU	08804392	ETRIER DE 10-45-50      17R238	38
25-0047783	25-0047783/16/1	00117554	MONTEREAU	08800738	ETRIER DE 10-50-65      17R064	56
25-0047783	25-0047783/17/1	00117554	MONTEREAU	08808267	ETRIER DE 12-57-65      17R106	28
25-0047783	25-0047783/19/1	00117554	MONTEREAU	08800578	ISOLATEUR VERRE            355	28
25-0047783	25-0047783/2/1	00117554	MONTEREAU	08800719	CROCHET                 200211	28
25-0047783	25-0047783/20/1	00117554	MONTEREAU	08800576	ISOLATEUR VERRE A SEMELLE  350	28
25-0047783	25-0047783/21/1	00117554	MONTEREAU	08804452	MANCHON DE BLOCAGE      204158	28
25-0047783	25-0047783/22/1	00117554	MONTEREAU	08801736	MANCHON EXTREMITE 116,2 201370	68
25-0047783	25-0047783/23/1	00117554	MONTEREAU	08827535	PIECE D ATT.S/CONSOLE    32741	28
25-0047783	25-0047783/24/1	00117554	MONTEREAU	08802646	PIECE D'ALLONGEMENT     202389	28
25-0047783	25-0047783/25/1	00117554	MONTEREAU	08804500	PINCE POUR 1 FIL RAINURE  4000	56
25-0047783	25-0047783/26/1	00117554	MONTEREAU	08804511	PINCE POUR FIL 104MM2     4050	560
25-0047783	25-0047783/27/1	00117554	MONTEREAU	78800005	PLAQUE SUPPORT            7380	12
25-0047783	25-0047783/28/1	00117554	MONTEREAU	78804068	RACCORD DERIVATION    6603R607	12
25-0047783	25-0047783/29/1	00117554	MONTEREAU	01680430	RONDELLE PLATE EN PLOMB M 10 N	100
25-0047783	25-0047783/3/1	00117554	MONTEREAU	08802801	CROCHET A ROTULE 202390R202391	30
25-0047783	25-0047783/30/1	00117554	MONTEREAU	01680156	RONDELLE PLATE M14	200
25-0047783	25-0047783/31/1	00117554	MONTEREAU	08804642	SERRE-TUBE(38) A 2 TETONS 3785	28
25-0047783	25-0047783/33/1	00117554	MONTEREAU	08838705	TENDEUR A LANTERNE 10   208059	7
25-0047783	25-0047783/34/1	00117554	MONTEREAU	08807972	TENDEUR A LANTERNE DE 22  8422	34
